"journey_id","cohort","task","component","measure","operational_definition","denominator","method","baseline","proposed_target","planned_sample","observed_sample","result","evidence_status","evidence_reference"
"J01","Each existing role separately","First session and re-entry","Learnability","Correct unassisted first-attempt completion","A correct server-confirmed outcome or predeclared safe stop reached without interface coaching on first use; record help and misconceptions separately.","All eligible first attempts in this task variant and cohort; setup blocks reported separately","Fresh novices; observation and outcome verification; same task difficulty across versions","Not measured","About 90% unassisted completion; proposed Valo Pay goal to refine before quantitative testing","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J01","Each existing role separately","First session and re-entry","Efficiency","Successful learned active time in seconds","Elapsed task seconds minus observed system/provider wait; report median/spread success rate steps re-entry and corrections separately.","Comparable successful learned attempts in this task variant and cohort; retain all failure outcomes separately","Equal practice; equivalent fixtures; counterbalanced versions; silent timed work with retrospective debrief","Not measured","About 20% less avoidable active time where baseline friction exists; no loss of accuracy or required review","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J01","Each existing role separately","First session and re-entry","Memorability","Correct delayed return and assistance","Correct unassisted outcome after the genuine delay; compare within-person success assistance and active seconds with prior learned attempt.","Eligible returning participants for this task variant and cohort; report attrition and interim exposure","Proposed 7-14 day interval without practice; record actual delay and exposure; equivalent fixture","Not measured","Retain return-task success without extra assistance; freeze time-change criterion before collection","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J01","Each existing role separately","First session and re-entry","Errors","Errors and safe recovery per defined opportunity","Count predefined decision opportunities; log slips interpretations system failures policy blocks and near misses separately; record severity and recovery time.","Predeclared error opportunities; recovery success denominator is recoverable error episodes","Observe and verify outcomes against task checklist; independent review of consequential severity classifications","Not measured","No unresolved critical financial/privacy defect in the tested release scope; zero observed applies only to recorded sample","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J01","Each existing role separately","First session and re-entry","Satisfaction","SEQ task ease and linked session SUS","SEQ 1-7 immediately after attempt; link session SUS 0-100 once per complete session; raw responses and missingness retained privately.","Attempted tasks with SEQ responses; SUS denominator is unique complete session respondents not task rows","Unmodified linked standard instruments; custom confidence and frustration comments kept separate","Not measured","Improve comparable task ease and session usability without sacrificing accuracy; no assumed benchmark or achieved score","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J02","Operations; Admin separately","Import check correction commit and retry","Learnability","Correct unassisted first-attempt completion","A correct server-confirmed outcome or predeclared safe stop reached without interface coaching on first use; record help and misconceptions separately.","All eligible first attempts in this task variant and cohort; setup blocks reported separately","Fresh novices; observation and outcome verification; same task difficulty across versions","Not measured","About 90% unassisted completion; proposed Valo Pay goal to refine before quantitative testing","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J02","Operations; Admin separately","Import check correction commit and retry","Efficiency","Successful learned active time in seconds","Elapsed task seconds minus observed system/provider wait; report median/spread success rate steps re-entry and corrections separately.","Comparable successful learned attempts in this task variant and cohort; retain all failure outcomes separately","Equal practice; equivalent fixtures; counterbalanced versions; silent timed work with retrospective debrief","Not measured","About 20% less avoidable active time where baseline friction exists; no loss of accuracy or required review","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J02","Operations; Admin separately","Import check correction commit and retry","Memorability","Correct delayed return and assistance","Correct unassisted outcome after the genuine delay; compare within-person success assistance and active seconds with prior learned attempt.","Eligible returning participants for this task variant and cohort; report attrition and interim exposure","Proposed 7-14 day interval without practice; record actual delay and exposure; equivalent fixture","Not measured","Retain return-task success without extra assistance; freeze time-change criterion before collection","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J02","Operations; Admin separately","Import check correction commit and retry","Errors","Errors and safe recovery per defined opportunity","Count predefined decision opportunities; log slips interpretations system failures policy blocks and near misses separately; record severity and recovery time.","Predeclared error opportunities; recovery success denominator is recoverable error episodes","Observe and verify outcomes against task checklist; independent review of consequential severity classifications","Not measured","No unresolved critical financial/privacy defect in the tested release scope; zero observed applies only to recorded sample","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
"J02","Operations; Admin separately","Import check correction commit and retry","Satisfaction","SEQ task ease and linked session SUS","SEQ 1-7 immediately after attempt; link session SUS 0-100 once per complete session; raw responses and missingness retained privately.","Attempted tasks with SEQ responses; SUS denominator is unique complete session respondents not task rows","Unmodified linked standard instruments; custom confidence and frustration comments kept separate","Not measured","Improve comparable task ease and session usability without sacrificing accuracy; no assumed benchmark or achieved score","Formative: approximately five per materially different group if practical; quantitative sample to be designed for precision","","Not measured","PENDING HUMAN VALIDATION","research-kit.md; actual observation reference pending"
